English Question,Tamil Question,Tamil Answer
,தமிழில் உள்ள பலர்பால் பெயர்ச்சொற்களின் உதாரணங்களை வழங்க முடியுமா?," பலார்பால் பயன்படுத்தி பெயர்ச்சொற்களை மாற்றுவதற்கான சில எடுத்துக்காட்டுகள் இங்கே உள்ளன: அவரை அவர்கள் மாற்றுவது, அவளை அவர்கள் மாற்றுவது, ஆணைஆண்களாக மாற்றுவது மற்றும் பெண்ணை பெண்களாக மாற்றுவது."
,தமிழில் உள்ள பலவின்பால் பெயர்ச்சொற்களின் உதாரணங்களை வழங்க முடியுமா?," பலவின்பால் பயன்படுத்தி பெயர்ச்சொற்களை மாற்றுவதற்கான சில எடுத்துக்காட்டுகள் இங்கே உள்ளன: சிங்கத்தை சிங்கமாக மாற்றுவது, நாயை நாய்களாக மாற்றுவது மற்றும் மேசையை மேசைகளாக மாற்றுவது."
,அஃறிணை என்றால் என்ன?,அஃறிணை என்பது தாழ்ந்த வகுப்பைச் சேர்ந்த விஷயங்களைக் குறிக்கிறது. இந்த கீழ் வகுப்பு அனைத்து உயிரற்ற பொருட்களையும் அனைத்து விலங்குகளையும் குறிக்கிறது ஆனால் மனிதர்களை விலக்குகிறது.
,அஃறிணையில் வகைப்படுத்தப்பட்ட அனைத்தும் என்ன அஃறிணை உயிரற்ற பொருட்களைக் குறிக்கிறது. இதில் உயிரற்ற ஒவ்வொரு பொருளும் அனைத்து விலங்குகளும் அடங்கும்?,
,"பின்வரும் பெயர்ச்சொற்களின் பலவின் பால் வடிவத்தை எவ்வாறு உருவாக்குவீர்கள்: மரம், புத்தகம், ஆசிரியர், பூ?","  இந்த பெயர்ச்சொற்களின் பலவின்பால் வடிவம் இங்கே உள்ளது: மரங்கள், புத்தகங்கள். ஆசிரியல்கள், மற்றும் பூக்கள்."
,உயர்திணை என்றால் என்ன?,உயர்திணை என்பது மனிதனையும் கடவுளையும் குறிக்கும்.
,"உயர்திணைக்கும் அஃறிணைக்கும் என்ன வித்தியாசம். அஃறிணை என்பது விலங்குகள் மற்றும் பொருள்கள் போன்ற கீழ் உயிர் வடிவங்கள், உயர்திணை என்றால் மனிதர்கள் மற்றும் கடவுள்கள்.?",
,அஃறிணை பொருட்களின் சில எடுத்துக்காட்டுகள் என்ன?," அஃறிணை பொருட்களின் சில எடுத்துக்காட்டுகள்: சிங்கங்கள், புலிகள், பூனைகள், மேசைகள் மற்றும் பேனாக்கள்"
,உயர்திணைப் பொருட்களின் சில எடுத்துக்காட்டுகள் கூறமுடியுமா?," உயர்திணைப் பொருட்களின் சில எடுத்துக்காட்டுகள்: கடவுள், நீங்கள், தந்தை மற்றும் நான். இது மனிதர்களையும் கடவுள்களையும் மட்டுமே குறிக்கிறது. உயர்திணைப் பொருட்களின் சில எடுத்துக்காட்டுகள்: கடவுள், நீங்கள், தந்தை மற்றும் நான். இது மனிதர்களையும் கடவுள்களையும் மட்டுமே குறிக்கிறது."
,ஒரு மரம் உயிருள்ளதா அல்லது உயிரற்றதா? ஏன்?,மரம் அஃறிணை ஏனென்றால் உயர்திணை பொருட்கள் மனிதர்களையும் கடவுள்களையும் மட்டுமே குறிக்கிறது.
,ஒரு ஆறு உயிருள்ளதா அல்லது உயிரற்றதா? ஏன்?,ஒரு ஆறு அஃறிணை ஏனென்றால் உயர்திணை பொருட்கள் மனிதர்களையும் கடவுள்களையும் மட்டுமே குறிக்கிறது.
,ஒரு மனிதன் உயிருள்ளதா அல்லது உயிரற்றதா? ஏன்?,ஒரு மனிதன் உயர்திணை ஏனென்றால் உயர்திணை பொருட்கள் மனிதர்களையும் கடவுள்களையும் மட்டுமே குறிக்கிறது.
,விலங்குகள் ஏன் அஃறிணை என்று கருதப்படுகின்றன?,"  விலங்குகள் அஃறிணையாகக் கருதப்படுகின்றன, ஏனெனில் அவை குறைந்த வாழ்க்கை வடிவங்களாகக் கருதப்படுகின்றன"
,கடவுள்கள் உயர்திணை என்று ஏன் கருதப்படுகிறார்கள்?,"  தெய்வங்கள் உயர்திணையாகக் கருதப்படுகின்றன, ஏனென்றால் அவர்களும் நம்மைப் போலவே உயர்ந்த வாழ்க்கை வடிவங்களாகக் கருதப்படுகிறார்கள்"
,அஃறிணை பலார்பால் வார்த்தையின் உதாரணம் என்ன?,உயர்திணை என்பதற்குப் பலர்பால் என்பது பன்மை வடிவமாக இருப்பதால் அஃறிணை மற்றும் பலர்பால் ஆகிய இரண்டும் உள்ள சொல் இருக்க முடியாது. அஃறிணை என்பதன் பன்மை வடிவம் பலவின்பால்
,சில தமிழ் பெயர்ச்சொற்களை என்னிடம் சொல்ல முடியுமா?," சில தமிழ் பெயர்ச்சொற்கள்: உணவு, கணினி, புத்தகம், வீடு, தொலைபேசி, காகிதம், நாய், மனிதன், படகு, நாற்காலி."
,சில பொதுவான தமிழ் விழாக்களை என்னிடம் சொல்ல முடியுமா?," பொதுவான தமிழ் திருவிழாக்களின் சில எடுத்துக்காட்டுகள்: பொங்கல், தீபாவளி, தமிழ் புத்தாண்டு, தைபுசம், அவானி அவதம், சித்ரா பவுர்னாமி, கார்த்திகை தீபம், ஆடிப்பெருக்கு, கோலு."
,பொதுவான தமிழ் வினையுரிச்சொற்களின் சில எடுத்துக்காட்டுகளை என்னிடம் சொல்ல முடியுமா?," பொதுவான தமிழ் வினையுரிச்சொற்களின் சில எடுத்துக்காட்டுகள்: விரைவாக, மெதுவாக, மகிழ்ச்சியுடன், சோகமாக, அமைதியாக, சத்தமாக, கோபமாக, நன்றாக, மென்மையாக, மெதுவாக."
,பெயர்ச்சொல் என்றால் என்ன?," பெயர்ச்சொல் என்பது ஒன்றன் பெயரை உணர்த்தும் சொல் ஆகும். பொருள், இடம், காலம், சினை, குணம், தொழில் என்னும் ஆறின் அடிப்படையில் பெயர்ச்சொற்கள் தோன்றும்."
,பொருட்பெயர் என்றால் என்ன?," பொருட்பெயர்:
ஒன்றின் பெயரைக் குறிப்பது பொருட்பெயர். இது உயர்திணையாகவோ அஃறிணையாகவோ இருக்கும்.
(எ-டு) மனிதன், விலங்கு, கிளி, புத்தகம்"
,இடப்பெயர் என்றால் என்ன?," இடப்பெயர்:
ஏதேனும் ஓர் இடத்தைக் குறிக்கும் பெயர் இடப்பெயர் எனப்படும்.
(எ-டு) சிங்கப்பூர், நீச்சல் குளம், மருத்துவமனை."
,காலப்பெயர் என்றால் என்ன?," காலப்பெயர்:
காலத்தைக் குறிப்பது காலப்பெயர்.
(எ-டு) ஆண்டு, வாரம், முற்பகல், காலை."
,சினைப்பெயர் என்றால் என்ன?," சினைப்பெயர்:
ஒன்றின் பாகத்தை அல்லது உறுப்பைக் குறிக்கும் பெயர் சினைப்பெயர்.
(எ-டு) கை, வால், கிளை, இலை."
,பண்புப்பெயர் என்றால் என்ன?," பண்புப்பெயர்:
ஒரு பொருளின் பண்பை அல்லது குணத்தைக் காட்டுவது பண்புப்பெயர்.=
நிறம், சுவை, வடிவம், அளவு, குணம் ஆகியவற்றின் அடிப்படையில் பண்புப்பெயர் அமையும்.
(எ-டு) வெண்மை, இனிப்பு, சதுரம், முழம், அன்பு."
,தொழிற்பெயர் என்றால் என்ன?," தொழிற்பெயர்
ஒரு செயலை உணர்த்தும் பெயர் தொழிற்பெயர்.=
(எ-டு) ஆடுதல், பயிற்சி, வருகை, ஓட்டம்."
,பெயர்ச் சோலை சுருக்கமாக விளக்கவும்?," பெயர்ச்சொல்
ஒன்றின் பெயரைக் குறிப்பது பெயர்ச்சொல் ஆகும். பெயர்ச்சொல்லில் பல வகை உண்டு. பொதுவாக அதனை அறுவகைப் பெயர்கள் எனக் குறிப்பர். வேற்றுமைகளை ஏற்கும்; காலம் காட்டாது."
,பெயர் சோலின் சில உதாரணங்கள் என்ன?," பெயர் சோலின் சில எடுத்துக்காட்டுகள் பொருட்பெயர், இடப்பெயர், காலப்பெயர், சினைப்பெயர், பண்புப்பெயர், தொழிற்பெயர் ஆகியவை அடங்கும்."
,சில பொருட்பெயர் உதாரணங்கள் என்ன?," மாடு - உயிருள்ள பொருட்பெயர், கல் - உயிரில்லாப் பொருட்பெயர், காற்று - உருவமில்லாப் பொருட்பெயர்
."
,சில இடப்பெயர் உதாரணங்கள் என்ன?,"  இடப்பெயர்களின் சில உதாரணங்கள் அடங்கும் சிங்கப்பூர், நீச்சல் குளம், மருத்துவமனை."
,சில காலப்பெயர் உதாரணங்கள் என்ன?," காலப்பெயர் உதாரணங்கள் அடங்கும் நாள், நாழிகை, நொடி போன்றவை
அசுவினி, பரணி போன்றவை.
மேழம், விடை (சித்திரை, வைகாசி) போன்றவை."
,சில சினைப்பெயர் உதாரணங்கள் என்ன?,"  சினைப்பெயர் சில உதாரணங்கள் அடங்கும் கை, கண், கிளை, இலை."
,தமிழ் எழுத்துக்களில் எத்தனை உயிரெழுத்துக்கள் உள்ளன?,தமிழ் எழுத்துக்களில் பன்னிரண்டு உயிரெழுத்துக்கள் உள்ளன.
,தமிழ் எழுத்துக்களில் எத்தனை குறுகிய உயிரெழுத்துக்கள் உள்ளன?,தமிழ் எழுத்துக்களில் ஐந்து குறுகிய உயிரெழுத்துக்கள் உள்ளன.
,தமிழ் எழுத்துக்களில் உள்ள ஐந்து குறுகிய உயிரெழுத்துக்கள் யாவை?,"  அ, இ, உ, எ, மற்றும் ஒ ஆகியவை தமிழ் எழுத்துக்களில் உள்ள ஐந்து குறுகிய உயிரெழுத்துக்கள்."
,தமிழ் எழுத்துக்களில் எத்தனை நீண்ட உயிரெழுத்துக்கள் உள்ளன?,தமிழ் எழுத்துக்களில் ஐந்து நீண்ட உயிரெழுத்துக்கள் உள்ளன.
,தமிழ் எழுத்துக்களில் உள்ள ஐந்து நீண்ட உயிரெழுத்துக்கள் யாவை?,"  ஆ, ஈ, ஈ, ஏ, மற்றும் ஓ ஆகியவை தமிழ் எழுத்துக்களில் உள்ள ஐந்து நீண்ட உயிரெழுத்துக்கள்"
,தமிழ் எழுத்துக்களில் எத்தனை மெய் உள்ளன?,தமிழ் எழுத்துக்களில் பதினெட்டு மெய் உள்ளது.
,தமிழ் எழுத்துக்களில் எத்தனை உயிர்மெய் எழுத்துகள் உள்ளன?,தமிழ் எழுத்துக்களில் 216 உயிர்மெய் எழுத்துக்கள் உள்ளன.
,தமிழ் எழுத்துக்களில் உயிர்மெய் எழுத்துக்களின் சில எடுத்துக்காட்டுகளை நீங்கள் கொடுக்க முடியுமா?,"  க, கி, கோ, கை, மெ, பு, ச, ரி, ட."
,தமிழ் எழுத்துக்களில் மொத்தம் எத்தனை எழுத்துக்கள் உள்ளன?,தமிழ் எழுத்துக்களில் மொத்தம் 247 எழுத்துக்கள் உள்ளன.
,"தமிழ் எழுத்துக்களில் உள்ள மெய் எழுத்துக்கள் அனைத்தையும் பட்டியலிடுங்கள். க், ங், ச், ஞ், ட், ண், த், ந், ப், ம், ய், ர், ல், வ், ழ், ள், ற், மற்றும் ன்.?",
,இலை என்ற வார்த்தையில் உள்ள உயிரெழுத்து எது?,இலை என்ற வார்த்தையில் இருக்கும் ஒரே உயிரெழுத்து 'இ'.
,விசிறி என்ற வார்த்தையில் என்ன உயிரெழுத்துக்கள் உள்ளன?,விசிறி என்ற வார்த்தையில் உயிரெழுத்துக்கள் இல்லை.
,ஒட்டகம் என்ற வார்த்தையில் எந்த உயிரெழுத்து உள்ளது?,ஒட்டகம் என்ற வார்த்தையில் இருக்கும் ஒரே உயிரெழுத்து 'ஒ'.
,சர்க்கரை என்ற வார்த்தையில் என்ன உயிரெழுத்துக்கள் உள்ளன?,சர்க்கரை என்ற வார்த்தையில் உயிரெழுத்துக்கள் எதுவும் இல்லை
,அப்பா என்ற வார்த்தையில் என்ன மெய் எழுத்துக்கள் உள்ளன?,ப்' மட்டுமே அப்பா என்ற வார்த்தையில் உள்ள மெய் எழுத்து.
,ஒட்டகம் என்ற வார்த்தையில் என்ன மெய் எழுத்துக்கள் உள்ளன?,ட்' மற்றும் 'ம்' இரண்டும் ஒட்டகம் என்ற வார்த்தையில் உள்ள மெய் எழுத்துக்கள்.
,மாடு என்ற வார்த்தையில் என்ன மெய் எழுத்துக்கள் உள்ளன?,மாடு என்ற வார்த்தையில் மெய் எழுத்துக்கள் எதுவும் இல்லை.
,நாற்காலி என்ற வார்த்தையில் என்ன உயிர்மெய் எழுத்துக்கள் உள்ளது?,"  'நா', 'கா', மற்றும் 'லி' ஆகியவை நாற்காலி என்ற வார்த்தையில் உள்ள உயிர்மெய் எழுத்துக்கள்."
,கணினி என்ற வார்த்தையில் உள்ள உயிர்மெய் எழுத்துக்கள் யாவை?,ணி' மற்றும் 'னி' ஆகியவை கணினி என்ற வார்த்தையில் உள்ள உயிர்மெய் எழுத்துக்கள்.
,ஆம் என்ற வார்த்தையில் எத்தனை உயிர்மெய் எழுத்துக்கள் உள்ளன?,ஆம் என்ற வார்த்தையில் எதுவும் உயிர்மெய் எழுத்துக்கள் இல்லை.
,கணிதம் என்ற வார்த்தையில் என்ன மெய் எழுத்துக்கள் உள்ளன?,கணிதம் என்ற வார்த்தையில் உள்ள ஒரே மெய் எழுத்து 'ம்'.
,அரங்கம் என்ற வார்த்தையில் என்ன உயிரெழுத்துக்கள் உள்ளன?,அரங்கம் என்ற வார்த்தையில் உள்ள ஒரே உயிரெழுத்து 'அ'.
,இமை என்ற வார்த்தையில் என்ன உயிரெழுத்துக்கள் உள்ளன?,இமை என்ற வார்த்தையில் உள்ள ஒரே உயிரெழுத்து 'இ'.
,உண்மை என்ற வார்த்தையில் என்ன உயிரெழுத்துக்கள் உள்ளன?,உண்மை என்ற வார்த்தையில் உள்ள ஒரே உயிரெழுத்து 'உ'.
,ஆமை என்ற வார்த்தையில் என்ன உயிரெழுத்துக்கள் உள்ளன?,ஆமை என்ற வார்த்தையில் இருக்கும் ஒரே உயிரெழுத்து 'ஆ'.
,ஆண்டு' என்ற வார்த்தையில் என்ன உயிரெழுத்துக்கள் உள்ளன?,ஆ' என்பது 'ஆண்டு' என்ற வார்த்தையில் இருக்கும் ஒரே உயிரெழுத்து.
,குருவி' என்ற வார்த்தையில் என்ன உயிரெழுத்துக்கள் உள்ளன?,குருவி என்ற வார்த்தையில் உயிரெழுத்துக்கள் இல்லை.
,புத்தகம்' என்ற வார்த்தையில் என்ன உயிரெழுத்துக்கள் உள்ளன?,புத்தகம்' என்ற வார்த்தையில் உயிரெழுத்துக்கள் இல்லை.
,சட்டை' என்ற வார்த்தையில் என்ன உயிரெழுத்துக்கள் உள்ளன?,சட்டை' என்ற வார்த்தையில் உயிரெழுத்துக்கள் இல்லை.
,சந்தை' என்ற வார்த்தையில் என்ன மெய் உள்ளன?,சந்தை' என்ற வார்த்தையில் 'ந்' மட்டுமே மெய்எழுத்து
,நண்டு' என்ற வார்த்தையில் என்ன மெய் உள்ளன?,ண்' என்ற வார்த்தையில் 'ண்' மட்டுமே மெய்எழுத்து
,முடிச்சு' என்ற வார்த்தையில் என்ன மெய் உள்ளன?,முடிச்சு' என்ற வார்த்தையில் 'ச்' மட்டுமே மெய் உள்ளது.
,ஆடு' என்ற வார்த்தையில் என்ன மெய் எழுத்துக்கள் உள்ளன?,ஆடு' என்ற வார்த்தையில் மெய் எழுத்துக்கள் எதுவும் இல்லை.
,கதவு' என்ற வார்த்தையில் என்ன மெய் எழுத்துக்கள் உள்ளன?,கதவு' என்ற வார்த்தையில் மெய் எழுத்துக்கள் எதுவும் இல்லை.
,ஒலி' என்ற வார்த்தையில் என்ன மெய் உள்ளன?,ஒலி' என்ற வார்த்தையில் மெய் எழுத்துக்கள் எதுவும் இல்லை.
,ஒளி' என்ற வார்த்தையில் என்ன மெய் எழுத்துக்கள் உள்ளன?,ஒளி' என்ற வார்த்தையில் மெய் எழுத்துக்கள் எதுவும் இல்லை.
,புலி என்ற வார்த்தையில் எத்தனை உயிர்மெய் எழுத்துக்கள் உள்ளன?,புலி என்ற வார்த்தையில் உள்ள உயிர்மெய் எழுத்துக்கள் 'பு' மற்றும் 'லி'.
,நரி' என்ற வார்த்தையில் என்ன உயிர்மெய் எழுத்துகள் உள்ளன?,நரி என்ற வார்த்தையில் உள்ள உயிர்மெய் எழுத்துக்கள் 'ந' மற்றும் 'ரி'.
,சில பொதுவான உறவுகள் தமிழ் என்றால் என்ன?," இங்கே சில பொதுவான உறவுகள்: 'தாய்'-'தந்தை', 'மனைவி'-'கணவர்', 'சகோதரர்'-'சகோதரி', 'மாமா'-'மருமகன்', மற்றும் 'பாட்டி'-'தாத்தா'."
,சில உதாரணம் பெண் பாலின சொற்கள் யாவை?," நிச்சயமாக! இங்கே சில எடுத்துக்காட்டுகள்: 'அவள் சாப்பிட்டாள்', 'அவள் வேலை செய்தாள்', மற்றும் 'அவள் நடந்தாள்'."
,சில ஆண் பாலின சொற்கள் யாவை?," இங்கே சில எடுத்துக்காட்டுகள்: 'சிறுவன் சாப்பிட்டான்', 'பையன் பேசினான்', மற்றும் 'சிறுவன் பயணம்'."
,ஆண் பாலின பெயர்கள் என்ன?," எடுத்துக்காட்டு பெயர்கள்: 'கண்ணன்', 'குமார்', மற்றும் 'அனந்த்'"
,சில உதாரணம் பெண் பாலின சொற்கள் யாவை?," இங்கே சில எடுத்துக்காட்டுகள்: 'கயல்', 'யமுனா', மற்றும் 'கமலா'"
,தமிழில் கடந்த காலம் என்ன?,கடந்த காலம் உருவாக்கப்பட்ட நடப்புகள் அல்லது நிகழ்வுகளை குறிக்கின்றன.
,தமிழில் கடந்த காலத்திற்குள் சென்ற நாட்கம் என்ன?,தமிழில் கடந்த காலத்திற்குள் சென்ற நாட்கம் என்ன
,தமிழில் பின்னர் நடந்த காலம் என்ன?,பின்னர் நடந்த காலம் அந்த காலத்தின் பின்னர் நடந்த நிகழ்வுகளை விளக்குகின்றது.
,தமிழில் கடந்த நேரம் என்ன?,கடந்த நேரம் உருவாக்கப்பட்ட நிகழ்வுகளை குறிக்கின்றது.
,தமிழில் எதிர்மறை காலங்கள் என்ன?,"  தமிழில் எதிர்மறை காலங்கள் இந்தியர் காலம், நிகழ் காலம், மெல்லிய நிகழ் காலம் ஆகியவை உள்ளன."
,தமிழில் எதிர்மறை காலத்திற்குள் எப்படி பயன்படுத்துவது?," தமிழில் எதிர்மறை காலத்திற்குள் படைக்கப்பட்ட நடப்புகள், காரியங்கள் மற்றும் நிகழ்வுகளை குறிப்பிடுகின்றன."
,தமிழில் காலத்திற்குள் முன்காலம் என்ன?,முன்காலம் காலத்திற்குள் அதிகமான நடப்புகள் மற்றும் நிகழ்வுகளை விளக்குகின்றன.முன்காலம் காலத்திற்குள் அதிகமான நடப்புகள் மற்றும் நிகழ்வுகளை விளக்குகின்றன.
,தமிழில் எவையெல்லாம் இன்னும் காலம் என்ன?,இன்னும் காலம் முன்காலம் மற்றும் நிகழ் காலம் ஆகின்றன.
