English Question,Tamil Question,Tamil Answer
Opposite,,எதிர்ச்சொல்:சிற்றூர் x பேரூர்
Opposite,,எதிர்ச்சொல்:நீதி x அநீதி
Opposite,,எதிர்ச்சொல்:சரி x தவறு
Opposite,,எதிர்ச்சொல்:வெற்றி x தோல்வி
Opposite,,எதிர்ச்சொல்:நிறை x குறை
Opposite,,எதிர்ச்சொல்:அந்தம் x ஆதி
Opposite,,எதிர்ச்சொல்:இயற்கை x செயற்கை
Opposite,,எதிர்ச்சொல்:ஆக்கம் x அழிவு
Opposite,,எதிர்ச்சொல்:அகம் x புறம்
Opposite,,எதிர்ச்சொல்:நிறை x குறை
Opposite,,எதிர்ச்சொல்:பகை x நட்பு
Opposite,,எதிர்ச்சொல்:இரத்தல் x ஈதல்
Opposite,,எதிர்ச்சொல்:ஆடூஉ x மகடூஉ
Opposite,,எதிர்ச்சொல்:ஆதி x அந்தம்
Opposite,,எதிர்ச்சொல்:அரிது x எளிது
Opposite,,எதிர்ச்சொல்:முற்பகல் x பிற்பகல்
Opposite,,எதிர்ச்சொல்:வைதல் x புகழ்தல்
Opposite,,எதிர்ச்சொல்:புகழ்ச்சி x இகழ்ச்சி
Opposite,,எதிர்ச்சொல்:அடைமழை x தூரல்
Opposite,,எதிர்ச்சொல்:அமைதி x ஆரவாரம்
Opposite,,எதிர்ச்சொல்:அரும்பொருள் x மலிவான பொருள்
Opposite,,எதிர்ச்சொல்:அருள்நோக்கு x கடுநோக்கு
Opposite,,எதிர்ச்சொல்:அரைகுறை x முழுநிறை
Opposite,,எதிர்ச்சொல்:அல்லங்காடி x நாளங்காடி
Opposite,,எதிர்ச்சொல்:ஆமை வேகம் x மின்னல் வேகம்
Opposite,,எதிர்ச்சொல்:இடுகுறிப்பெயர் x காரணப் பெயர்
Opposite,,எதிர்ச்சொல்:இணக்கம் x பிணக்கம்
Opposite,,எதிர்ச்சொல்:இரப்பு x ஈகை
Opposite,,எதிர்ச்சொல்:இரவலர் x புரவலர்
Opposite,,எதிர்ச்சொல்:உறவினர் x நொதுமலர்
Opposite,,எதிர்ச்சொல்:ஊதியம் x நட்டம்
Opposite,,எதிர்ச்சொல்:எண்ணிறந்த x விரல்விட்டு எண்ணல்
Opposite,,எதிர்ச்சொல்:ஏக்கம் x ஊக்கம்
Opposite,,எதிர்ச்சொல்:ஒழுக்கம் x இழுக்கம்
Opposite,,எதிர்ச்சொல்:ஒன்றுமறியாதவன் x கரை கண்டவன்
Opposite,,எதிர்ச்சொல்:ஓடுதல் x துரத்துதல்
Opposite,,எதிர்ச்சொல்:கங்குல் x பகல்
Opposite,,எதிர்ச்சொல்:கட்டுங்கவி x வரகவி
Opposite,,எதிர்ச்சொல்:கடை x தலை
Opposite,,எதிர்ச்சொல்:கண்ணோட்டம் x கவனம்
Opposite,,எதிர்ச்சொல்:கண்மூடித்தனம் x கவனம்
Opposite,,எதிர்ச்சொல்:கயமை x சான்றாண்மை
Opposite,,எதிர்ச்சொல்:கலக்கம் x துலக்கம்
Opposite,,எதிர்ச்சொல்:கனவு x நனவு
Opposite,,எதிர்ச்சொல்:கனிமொழி x முனிந்துரை
Opposite,,எதிர்ச்சொல்:காய்தல் x உவத்தல்
Opposite,,எதிர்ச்சொல்:கால்மாடு x தலைமாடு
Opposite,,எதிர்ச்சொல்:கிளைஞர் x பகைஞர்
Opposite,,எதிர்ச்சொல்:கீற்றுமதி x மழுமதி
Opposite,,எதிர்ச்சொல்:குடபுலம் x குணபுலம்
Opposite,,எதிர்ச்சொல்:குருடன் x கண்ணன்
Opposite,,எதிர்ச்சொல்:குறும்புக்காரன் x நல்லவன்
Opposite,,எதிர்ச்சொல்:கூடாநட்பு x நல்நட்பு
Opposite,,எதிர்ச்சொல்:கூர்மை x மழுக்கம்
Opposite,,எதிர்ச்சொல்:கெடுமதி x நன்மதி
Opposite,,எதிர்ச்சொல்:கெழுதகைமை x பகைமை
Opposite,,எதிர்ச்சொல்:கேவலம் x மேன்மை
Opposite,,எதிர்ச்சொல்:கையாலாகாதவன் x திறமைசாலி
Opposite,,எதிர்ச்சொல்:கொள்ளல் x கொடை
Opposite,,எதிர்ச்சொல்:சமுதாயம் x தனிமனிதன்
Opposite,,எதிர்ச்சொல்:சற்று x மிகுதி
Opposite,,எதிர்ச்சொல்:சாதகம் x பாதகம்
Opposite,,எதிர்ச்சொல்:சிலேடை x செஞ்சொல்
Opposite,,எதிர்ச்சொல்:சிலையில்எழுத்து x நீர்மேல் எழுத்து
Opposite,,எதிர்ச்சொல்:சிறப்பறிவு x பொது அறிவு
Opposite,,எதிர்ச்சொல்:செந்நெறி x துன்னெறி
Opposite,,எதிர்ச்சொல்:செப்புவழு x வினாவழு
Opposite,,எதிர்ச்சொல்:செம்மை x பசுமை
Opposite,,எதிர்ச்சொல்:செய்யோன் x கரியோன்
Opposite,,எதிர்ச்சொல்:செயப்படுபொருள் x செய்பொருள்
Opposite,,எதிர்ச்சொல்:செல்வம் x வறுமை
Opposite,,எதிர்ச்சொல்:ஞானக்கண் x ஊனக்கண்
Opposite,,எதிர்ச்சொல்:தக்கார் x தகவிலார்
Opposite,,எதிர்ச்சொல்:தகுதி x தகுதியின்மை
Opposite,,எதிர்ச்சொல்:தலைமாடு x கால்மாடு
Opposite,,எதிர்ச்சொல்:தவநெறி x அவநெறி
Opposite,,எதிர்ச்சொல்:தள்ளாமை x துடிதுடிப்பு
Opposite,,எதிர்ச்சொல்:தன்மைநவிற்சி x உயர்வு நவிற்சி
Opposite,,எதிர்ச்சொல்:தனி x கூட்டு
Opposite,,எதிர்ச்சொல்:தாளாண்மை x மடிகை
Opposite,,எதிர்ச்சொல்:திட்டவட்டம் x தெளிவின்மை
Opposite,,எதிர்ச்சொல்:திண்ணம் x பொய்
Opposite,,எதிர்ச்சொல்:திண்மை x மென்மை
Opposite,,எதிர்ச்சொல்:திரிசொல் x இயற்சொல்
Opposite,,எதிர்ச்சொல்:திருவினை x தீவினை
Opposite,,எதிர்ச்சொல்:தீயவை x நல்லவை
Opposite,,எதிர்ச்சொல்:தெவ்வர் x நண்பர்
Opposite,,எதிர்ச்சொல்:தேக்கம் x ஒழுக்கம்
Opposite,,எதிர்ச்சொல்:தொகுதியெண் x பகுதியெண்
Opposite,,எதிர்ச்சொல்:தொன்மை x புதுமை
Opposite,,எதிர்ச்சொல்:நசை x வெறுப்பு
Opposite,,எதிர்ச்சொல்:நல்லூழ் x அல்லூழ்
Opposite,,எதிர்ச்சொல்:நலிவு x பொலிவு
Opposite,,எதிர்ச்சொல்:நன்கொடை x கைம்மாறு
Opposite,,எதிர்ச்சொல்:நாத்திகம் x ஆத்திகம்
Opposite,,எதிர்ச்சொல்:நுண்ணறிவு x மழுங்கிய அறிவு
Opposite,,எதிர்ச்சொல்:நுண்பொருள் x பருப்பொருள்
Opposite,,எதிர்ச்சொல்:நூலறிவு x அனுபவ அறிவு
Opposite,,எதிர்ச்சொல்:நோவு x இன்பம்
Opposite,,எதிர்ச்சொல்:பழி x புகழ்
Opposite,,எதிர்ச்சொல்:பிறிதின்கிழமை x தற்கிழமை
Opposite,,எதிர்ச்சொல்:பீடு x கேடு
Opposite,,எதிர்ச்சொல்:புல்லறிவு x நல்லறி
Opposite,,எதிர்ச்சொல்:புலமை x பேதைமை
Opposite,,எதிர்ச்சொல்:பெருவழக்கு x அருவழக்கு
Opposite,,எதிர்ச்சொல்:பேதை x மேதை
Opposite,,எதிர்ச்சொல்:பேராண்மை x கோழைமை
Opposite,,எதிர்ச்சொல்:பொய்ம்மை x மெய்ம்மை
Opposite,,எதிர்ச்சொல்:போக்கிரி x நல்லவன்
Opposite,,எதிர்ச்சொல்:போகி x யோகி
Opposite,,எதிர்ச்சொல்:மகடூஉ x அகடூஉ
Opposite,,எதிர்ச்சொல்:மருள் x தெருள்
Opposite,,எதிர்ச்சொல்:மீக்கூர்தல் x குறைதல்
Opposite,,எதிர்ச்சொல்:வழிமொழிதல் x முன்மொழிதல்
Opposite,,எதிர்ச்சொல்:வாடை x தென்றல்
Opposite,,எதிர்ச்சொல்:விதி x புறனடை
Opposite,,எதிர்ச்சொல்:வெள்ளைமனம் x கள்ளமனம்
Opposite,,எதிர்ச்சொல்:வெஃகல் x விரும்புதல்
Opposite,,எதிர்ச்சொல்:நல்வினை x தீவினை
Opposite,,எதிர்ச்சொல்:வைதல் x புகழ்தல்
Opposite,,எதிர்ச்சொல்:வழுத்தல் x இகழ்தல்
Opposite,,எதிர்ச்சொல்:கீழ்த்திசை x மேற்றிசை
Opposite,,எதிர்ச்சொல்:நகை x அழுகை
Opposite,,எதிர்ச்சொல்:வலம்புரி x இடம்புரி
Opposite,,எதிர்ச்சொல்:மலர்தல் x கூம்பல்
Opposite,,எதிர்ச்சொல்:வெம்மை x தண்மை
Opposite,,எதிர்ச்சொல்:வல்லினம் x மெல்லினம்
Opposite,,எதிர்ச்சொல்:ஒற்றுமை x வேற்றுமை
Opposite,,எதிர்ச்சொல்:கனவு x நனவு
Opposite,,எதிர்ச்சொல்:சிற்றிலக்கியம் x பேரிலக்கியம்
Opposite,,எதிர்ச்சொல்:பழமை x புதுமை
Opposite,,எதிர்ச்சொல்:நல்லார் x அல்லார்
Opposite,,எதிர்ச்சொல்:ஓடுமீன் x உறுமீன்
Opposite,,எதிர்ச்சொல்:தெருள் x மருள்
Opposite,,எதிர்ச்சொல்:புகட்டு x எளிமை
Opposite,,எதிர்ச்சொல்:தூங்குக x தூங்கற்க
Opposite,,எதிர்ச்சொல்:தூங்கி x தூங்காது
Opposite,,எதிர்ச்சொல்:மருவுக x ஒருவுக
Opposite,,எதிர்ச்சொல்:சிற்றூர் x பேரூர்
Opposite,,எதிர்ச்சொல்:நீதி x அநீதி
Opposite,,எதிர்ச்சொல்:நிறை x குறை
Opposite,,எதிர்ச்சொல்:இயற்கை x செயற்கை
Opposite,,எதிர்ச்சொல்:ஆக்கம் x அழிவு
Opposite,,எதிர்ச்சொல்:அகம் x புறம்
Opposite,,எதிர்ச்சொல்:பகை x நட்பு
Opposite,,எதிர்ச்சொல்:இரத்தல் x ஈதல்
Opposite,,எதிர்ச்சொல்:ஆடூஉ x மகடூஉ
Opposite,,எதிர்ச்சொல்:முற்பகல் x பிற்பகல்
Opposite,,எதிர்ச்சொல்:புகழ்ச்சி x இகழ்ச்சி
