English Question,Tamil Question,Tamil Answer
,பிரித்தெழுதுக: தற்குற்றம்,தன் + குற்றம்
,பிரித்தெழுதுக: இரவினீர்க்குழல்,இரவின் + ஈர் + குழல்
,பிரித்தெழுதுக: மாவிலை,மா + இலை
,பிரித்தெழுதுக: பெருவிழா,பெருமை + விழா
,பிரித்தெழுதுக: அச்சாணி,அச்சு + ஆணி
,பிரித்தெழுதுக: நன்னாள்,நன்மை + நாள்
,பிரித்தெழுதுக: சிற்றூர்,சிறுமை + ஊர்
,பிரித்தெழுதுக: நன்மொழி,நன்மை + மொழி
,பிரித்தெழுதுக: புறச்சூழல்,புறம் + சூழல்
,பிரித்தெழுதுக: முக்கனி,மூன்று + கனி
,பிரித்தெழுதுக: நன்றியுணர்வு,நன்றி + உணர்வு
,பிரித்தெழுதுக: இந்நாளில்,இ + நாளில்
,பிரித்தெழுதுக: செந்நெல்,செம்மை + நெல்
,பிரித்தெழுதுக: செங்கரும்பு,செம்மை + கரும்பு
,பிரித்தெழுதுக: புதுப்பானை,புது + பானை
,பிரித்தெழுதுக: ஓரிடத்தில்,ஓர் + இடத்தில்
,பிரித்தெழுதுக: ஆரளவு,அருமை + அளவு
,பிரித்தெழுதுக: கருங்கோல்,கருமை + கோல்
,பிரித்தெழுதுக: பெருந்தேன்,பெருமை + தேன்
,பிரித்தெழுதுக: மெய்தானரும்பி,மெய்தான் + அரும்பி
,பிரித்தெழுதுக: விதிர்த்துன்,விதிர்த்து + உன்
,பிரித்தெழுதுக: கழற்கென்,கழற்கு + என்
,பிரித்தெழுதுக: வெதும்பியுள்ளம்,வெதும்பி + உள்ளம்
,பிரித்தெழுதுக: தவிர்ந்துன்னை,தவிர்ந்து + உன்னை
,பிரித்தெழுதுக: கைதானெகிழ,கைதான் + நெகிழ
,பிரித்தெழுதுக: உடையாயென்னை,உடையாய் + என்னை
,பிரித்தெழுதுக: பரிந்தோம்பி,பரிந்து + ஓம்பி
,பிரித்தெழுதுக: தெரிந்தோம்பி,தெரிந்து + ஓம்பி
,பிரித்தெழுதுக: மறப்பினுமோத்து,மறப்பினும் + ஓத்து
,பிரித்தெழுதுக: பிறப்பொழுக்கம்,பிறப்பு + ஒழுக்கம்
